AGENT_ID,DEALER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,SKILL_TIER,HIRE_DATE,IS_ACTIVE,CREATED_AT
AGT001,DLR001,James,Smith,james.smith@sunshinetoyota.com,(828) 870-5053,top,2021-05-30,True,2021-01-01
AGT002,DLR001,Maria,Johnson,maria.johnson@sunshinetoyota.com,(496) 824-6794,bottom,2021-11-14,True,2021-01-01
AGT003,DLR001,David,Williams,david.williams@sunshinetoyota.com,(857) 559-3044,mid,2023-04-29,True,2021-01-01
AGT004,DLR001,Ashley,Brown,ashley.brown@sunshinetoyota.com,(643) 885-8447,top,2022-06-17,True,2021-01-01
AGT005,DLR001,Robert,Jones,robert.jones@sunshinetoyota.com,(704) 759-4190,bottom,2023-06-09,True,2021-01-01
AGT006,DLR001,Jennifer,Garcia,jennifer.garcia@sunshinetoyota.com,(975) 741-8004,bottom,2020-03-12,True,2021-01-01
AGT007,DLR002,Michael,Miller,michael.miller@bayareahonda.com,(355) 597-1394,mid,2021-03-12,True,2021-01-01
AGT008,DLR002,Jessica,Davis,jessica.davis@bayareahonda.com,(323) 937-7702,mid,2022-01-14,True,2021-01-01
AGT009,DLR002,William,Martinez,william.martinez@bayareahonda.com,(973) 923-4333,mid,2023-05-26,True,2021-01-01
AGT010,DLR002,Melissa,Hernandez,melissa.hernandez@bayareahonda.com,(575) 569-2169,top,2020-07-16,True,2021-01-01
AGT011,DLR002,Carlos,Lopez,carlos.lopez@bayareahonda.com,(580) 651-7027,mid,2019-05-09,True,2021-01-01
AGT012,DLR002,Stephanie,Gonzalez,stephanie.gonzalez@bayareahonda.com,(549) 703-7301,bottom,2023-04-20,True,2021-01-01
AGT013,DLR003,Luis,Wilson,luis.wilson@lakelandford.com,(449) 547-8242,bottom,2019-10-24,True,2021-01-01
AGT014,DLR003,Nicole,Anderson,nicole.anderson@lakelandford.com,(509) 391-7141,mid,2020-10-09,True,2021-01-01
AGT015,DLR003,Kevin,Taylor,kevin.taylor@lakelandford.com,(311) 843-1066,top,2020-01-09,True,2021-01-01
AGT016,DLR003,Amanda,Thomas,amanda.thomas@lakelandford.com,(828) 576-7345,mid,2022-06-16,True,2021-01-01
AGT017,DLR003,Brian,Moore,brian.moore@lakelandford.com,(823) 603-6118,mid,2023-08-01,True,2021-01-01
AGT018,DLR003,Rachel,Jackson,rachel.jackson@lakelandford.com,(311) 551-7014,top,2020-09-09,True,2021-01-01
AGT019,DLR004,Jason,Martin,jason.martin@gulfcoastchevrolet.com,(576) 263-7884,mid,2021-01-23,True,2021-01-01
AGT020,DLR004,Heather,Lee,heather.lee@gulfcoastchevrolet.com,(707) 272-6032,mid,2020-01-12,True,2021-01-01
AGT021,DLR004,Eric,Perez,eric.perez@gulfcoastchevrolet.com,(442) 477-4930,top,2019-02-25,True,2021-01-01
AGT022,DLR004,Lauren,Thompson,lauren.thompson@gulfcoastchevrolet.com,(371) 993-8679,mid,2023-08-05,True,2021-01-01
AGT023,DLR004,Daniel,White,daniel.white@gulfcoastchevrolet.com,(386) 883-3532,top,2019-06-16,True,2021-01-01
AGT024,DLR004,Brittany,Harris,brittany.harris@gulfcoastchevrolet.com,(434) 300-6012,mid,2021-05-22,True,2021-01-01
AGT025,DLR005,Anthony,Sanchez,anthony.sanchez@coastalbmw.com,(826) 526-4657,mid,2021-10-18,True,2021-01-01
AGT026,DLR005,Amber,Clark,amber.clark@coastalbmw.com,(850) 467-1204,top,2023-04-05,True,2021-01-01
AGT027,DLR005,Mark,Ramirez,mark.ramirez@coastalbmw.com,(271) 756-5156,bottom,2020-05-25,True,2021-01-01
AGT028,DLR005,Danielle,Lewis,danielle.lewis@coastalbmw.com,(328) 949-2370,mid,2021-06-05,True,2021-01-01
AGT029,DLR005,Steven,Robinson,steven.robinson@coastalbmw.com,(756) 332-4428,mid,2022-08-21,True,2021-01-01
AGT030,DLR005,Crystal,Walker,crystal.walker@coastalbmw.com,(440) 685-4255,mid,2019-04-05,True,2021-01-01
