CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,CITY,STATE,ZIP_CODE,OPT_IN_SMS,OPT_IN_EMAIL,DO_NOT_CALL,CREATED_AT
CUS00001,James,Davis,james.davis0@gmail.com,(305) 473-2061,Tampa,FL,33016,False,True,False,2020-01-18
CUS00002,Maria,Lopez,maria.lopez1@gmail.com,(863) 974-3371,St. Petersburg,FL,34335,False,True,False,2023-08-08
CUS00003,David,Anderson,david.anderson2@gmail.com,(305) 557-9122,Orlando,FL,32382,True,True,False,2022-01-31
CUS00004,Ashley,Moore,ashley.moore3@gmail.com,(754) 341-5168,Jacksonville,FL,34568,False,True,False,2022-09-04
CUS00005,Robert,Lee,robert.lee4@gmail.com,(813) 312-6256,Miami,FL,32283,True,True,False,2021-04-21
CUS00006,Jennifer,White,jennifer.white5@gmail.com,(321) 594-2693,Fort Lauderdale,FL,32989,True,True,False,2020-09-21
CUS00007,Michael,Clark,michael.clark6@gmail.com,(321) 439-9325,Clearwater,FL,34968,True,True,False,2021-07-31
CUS00008,Jessica,Robinson,jessica.robinson7@gmail.com,(321) 965-4762,Sarasota,FL,33446,False,True,False,2021-03-20
CUS00009,William,Johnson,william.johnson8@gmail.com,(727) 552-9439,Lakeland,FL,32482,True,True,False,2021-08-13
CUS00010,Melissa,Jones,melissa.jones9@gmail.com,(754) 616-8647,Gainesville,FL,33316,True,True,False,2021-09-25
CUS00011,Carlos,Davis,carlos.davis10@gmail.com,(321) 441-5985,Tallahassee,FL,32946,True,True,False,2023-06-26
CUS00012,Stephanie,Lopez,stephanie.lopez11@gmail.com,(850) 780-9447,Pensacola,FL,34305,True,False,False,2022-12-20
CUS00013,Luis,Anderson,luis.anderson12@gmail.com,(239) 312-5993,Cape Coral,FL,33639,False,True,False,2022-06-05
CUS00014,Nicole,Moore,nicole.moore13@gmail.com,(352) 961-6712,Fort Myers,FL,32872,True,True,False,2023-03-12
CUS00015,Kevin,Lee,kevin.lee14@gmail.com,(321) 625-1404,Naples,FL,32896,False,False,False,2022-03-02
CUS00016,Amanda,White,amanda.white15@gmail.com,(904) 911-3010,Bonita Springs,FL,34679,True,True,False,2022-07-27
CUS00017,Brian,Clark,brian.clark16@gmail.com,(813) 527-4362,Bradenton,FL,34658,False,True,False,2023-07-17
CUS00018,Rachel,Robinson,rachel.robinson17@gmail.com,(954) 392-1287,Ocala,FL,32368,False,True,False,2022-06-10
CUS00019,Jason,Johnson,jason.johnson18@gmail.com,(772) 775-8870,Daytona Beach,FL,32134,True,True,False,2023-02-17
CUS00020,Heather,Jones,heather.jones19@gmail.com,(727) 600-4902,Melbourne,FL,32431,True,True,False,2023-11-06
CUS00021,Eric,Davis,eric.davis20@gmail.com,(813) 974-2096,Tampa,FL,32889,True,True,False,2021-11-18
CUS00022,Lauren,Lopez,lauren.lopez21@gmail.com,(904) 842-1225,St. Petersburg,FL,34145,False,True,False,2021-08-20
CUS00023,Daniel,Anderson,daniel.anderson22@gmail.com,(941) 264-4577,Orlando,FL,34918,True,True,False,2022-09-16
CUS00024,Brittany,Moore,brittany.moore23@gmail.com,(754) 428-9641,Jacksonville,FL,34773,True,True,False,2020-07-14
CUS00025,Anthony,Lee,anthony.lee24@gmail.com,(305) 777-2262,Miami,FL,34245,False,True,False,2022-03-26
CUS00026,Amber,White,amber.white25@gmail.com,(850) 842-4888,Fort Lauderdale,FL,33401,False,True,False,2022-10-05
CUS00027,Mark,Clark,mark.clark26@gmail.com,(904) 400-8170,Clearwater,FL,33388,True,True,False,2022-12-25
CUS00028,Danielle,Robinson,danielle.robinson27@gmail.com,(863) 681-3608,Sarasota,FL,33237,True,True,False,2020-01-16
CUS00029,Steven,Johnson,steven.johnson28@gmail.com,(904) 418-5084,Lakeland,FL,33592,True,True,False,2022-12-03
CUS00030,Crystal,Jones,crystal.jones29@gmail.com,(954) 284-8933,Gainesville,FL,32199,True,True,False,2022-08-21
CUS00031,James,Davis,james.davis30@gmail.com,(386) 937-2294,Tallahassee,FL,34744,True,True,False,2020-03-18
CUS00032,Maria,Lopez,maria.lopez31@gmail.com,(727) 292-5862,Pensacola,FL,32063,True,True,False,2022-03-11
CUS00033,David,Anderson,david.anderson32@gmail.com,(772) 612-7125,Cape Coral,FL,34408,True,True,False,2022-05-02
CUS00034,Ashley,Moore,ashley.moore33@gmail.com,(863) 880-5828,Fort Myers,FL,32130,True,True,False,2021-05-01
CUS00035,Robert,Lee,robert.lee34@gmail.com,(772) 958-4745,Naples,FL,32846,True,True,False,2023-09-21
CUS00036,Jennifer,White,jennifer.white35@gmail.com,(305) 865-1960,Bonita Springs,FL,32155,False,True,False,2020-09-11
CUS00037,Michael,Clark,michael.clark36@gmail.com,(941) 391-9815,Bradenton,FL,32961,False,True,False,2020-09-09
CUS00038,Jessica,Robinson,jessica.robinson37@gmail.com,(850) 307-8433,Ocala,FL,33607,True,False,False,2020-10-05
CUS00039,William,Johnson,william.johnson38@gmail.com,(561) 748-6755,Daytona Beach,FL,32749,True,True,False,2022-11-06
CUS00040,Melissa,Jones,melissa.jones39@gmail.com,(772) 385-4043,Melbourne,FL,33102,True,True,False,2023-03-08
CUS00041,Carlos,Davis,carlos.davis40@gmail.com,(813) 388-3671,Tampa,FL,34377,False,True,False,2020-02-06
CUS00042,Stephanie,Lopez,stephanie.lopez41@gmail.com,(727) 627-9643,St. Petersburg,FL,34544,True,True,False,2020-10-31
CUS00043,Luis,Anderson,luis.anderson42@gmail.com,(813) 257-3593,Orlando,FL,32529,True,True,False,2020-12-16
CUS00044,Nicole,Moore,nicole.moore43@gmail.com,(941) 305-9571,Jacksonville,FL,33842,True,True,False,2021-10-24
CUS00045,Kevin,Lee,kevin.lee44@gmail.com,(941) 778-2236,Miami,FL,34878,False,True,False,2020-01-22
CUS00046,Amanda,White,amanda.white45@gmail.com,(954) 835-9381,Fort Lauderdale,FL,34837,True,True,False,2021-10-28
