EMAIL_ID,DEALER_ID,CUSTOMER_ID,CALL_ID,TO_EMAIL,FROM_EMAIL,SUBJECT,STATUS,OPENED_AT,SENT_AT,CREATED_AT
EML00001,DLR003,CUS00962,,maria.lopez961@gmail.com,service@lakelandford.com,Thank You for Visiting Lakeland Ford,delivered,,2024-01-29 11:00:00,2024-01-29 11:00:00
EML00002,DLR005,CUS01703,CALL013475,daniel.anderson1702@gmail.com,service@coastalbmw.com,Lease Maturity Notice - Your Options Await,delivered,2024-01-11 21:00:00,2024-01-11 12:00:00,2024-01-11 12:00:00
EML00003,DLR005,CUS01262,,maria.lopez1261@gmail.com,service@coastalbmw.com,Your 2019 Honda is Due for Service - Schedule Today,delivered,,2024-01-17 19:00:00,2024-01-17 19:00:00
EML00004,DLR002,CUS01941,CALL002087,eric.davis1940@gmail.com,service@bayareahonda.com,Service Reminder: 2022 Chevrolet Brake Inspection,delivered,2024-01-07 16:00:00,2024-01-05 19:00:00,2024-01-05 19:00:00
EML00005,DLR005,CUS00892,,lauren.lopez891@gmail.com,service@coastalbmw.com,Service Reminder: 2020 Chevrolet Brake Pad Replacement,opened,,2024-01-24 11:00:00,2024-01-24 11:00:00
EML00006,DLR001,CUS01664,,nicole.moore1663@gmail.com,service@sunshinetoyota.com,Recall Notice: Important Safety Information for Your 2019 Ford,delivered,2024-01-04 12:00:00,2024-01-03 18:00:00,2024-01-03 18:00:00
EML00007,DLR001,CUS01637,,brian.clark1636@gmail.com,service@sunshinetoyota.com,Your 2020 Toyota is Due for Service - Schedule Today,opened,,2024-01-12 13:00:00,2024-01-12 13:00:00
EML00008,DLR004,CUS01301,,carlos.davis1300@gmail.com,service@gulfcoastchevrolet.com,Service Reminder: 2019 Toyota Battery Replacement,delivered,2024-01-08 09:00:00,2024-01-07 18:00:00,2024-01-07 18:00:00
EML00009,DLR004,CUS00649,,jason.johnson648@gmail.com,service@gulfcoastchevrolet.com,Your Service Appointment Confirmation - Gulf Coast Chevrolet,delivered,,2024-01-02 18:00:00,2024-01-02 18:00:00
EML00010,DLR003,CUS01419,,william.johnson1418@gmail.com,service@lakelandford.com,Exclusive Offer: Save on Your Next Service at Lakeland Ford,delivered,2024-01-17 09:00:00,2024-01-16 09:00:00,2024-01-16 09:00:00
EML00011,DLR001,CUS01537,CALL007402,michael.clark1536@gmail.com,service@sunshinetoyota.com,Your Service Appointment Confirmation - Sunshine Toyota,opened,,2024-01-09 08:00:00,2024-01-09 08:00:00
EML00012,DLR004,CUS01896,,jennifer.white1895@gmail.com,service@gulfcoastchevrolet.com,Service Reminder: 2020 Ford Warranty Repair,delivered,,2024-01-21 10:00:00,2024-01-21 10:00:00
EML00013,DLR003,CUS01763,CALL007894,daniel.anderson1762@gmail.com,service@lakelandford.com,CSI Survey - Tell Us About Your Recent Visit to Lakeland Ford,delivered,,2024-01-14 18:00:00,2024-01-14 18:00:00
EML00014,DLR005,CUS01841,,carlos.davis1840@gmail.com,service@coastalbmw.com,CSI Survey - Tell Us About Your Recent Visit to Coastal BMW,opened,2024-01-13 17:00:00,2024-01-12 09:00:00,2024-01-12 09:00:00
